neighborhood,garage_type,lot_area,house_age,overall_qual,gr_liv_area,kitchen_qual,garage_area,total_bsmt_sf,bsmt_qual,saleprice
IDOTRR,Attchd,6000,41,5,1656,3,288.0,624.0,4.0,126000
NPkVill,Attchd,2529,31,7,1055,3,440.0,1055.0,4.0,148500
OldTown,Detchd,10800,70,5,1352,4,720.0,676.0,3.0,149000
NPkVill,Attchd,2349,32,6,1456,3,440.0,855.0,4.0,137900
Veenker,Attchd,10846,15,8,1719,4,473.0,1719.0,4.0,324000
Edwards,none,5604,83,5,864,3,0.0,864.0,3.0,98000
BrDale,Detchd,1680,35,6,987,3,264.0,483.0,3.0,103400
Sawyer,none,6342,135,5,1020,3,0.0,780.0,3.0,94000
NridgHt,Attchd,4590,1,8,1554,4,627.0,1554.0,4.0,209500
StoneBr,BuiltIn,18062,0,10,3390,5,758.0,1528.0,5.0,545224
OldTown,none,12900,98,6,1560,4,0.0,780.0,3.0,159900
Gilbert,Detchd,19138,59,4,864,3,400.0,864.0,3.0,141000
Gilbert,Attchd,8658,6,6,1889,3,431.0,982.0,4.0,215000
Sawyer,Detchd,6897,48,5,1040,3,260.0,1040.0,3.0,127000
Edwards,Attchd,9525,56,5,1172,3,366.0,1172.0,3.0,128000
Somerst,Attchd,12853,0,8,1418,4,852.0,1642.0,5.0,267916
BrkSide,Detchd,6240,76,6,1367,3,560.0,884.0,3.0,127500
Edwards,BuiltIn,7301,6,7,1922,4,672.0,0.0,0.0,198500
NWAmes,Attchd,12090,27,6,1422,4,576.0,1422.0,4.0,175500
CollgCr,Attchd,8826,7,7,1842,4,486.0,985.0,4.0,217500
OldTown,Detchd,8094,95,4,1962,3,572.0,888.0,3.0,149500
NAmes,Attchd,10710,43,5,1120,3,656.0,864.0,3.0,148800
StoneBr,BuiltIn,16056,1,9,2868,5,716.0,1992.0,5.0,556581
NAmes,Attchd,8400,52,6,1478,3,442.0,1478.0,3.0,156500
CollgCr,Attchd,11250,11,7,1995,4,610.0,930.0,4.0,237000
NAmes,Attchd,7535,49,5,912,3,297.0,912.0,3.0,120000
Gilbert,Attchd,12216,2,6,1326,4,388.0,1326.0,4.0,203000
StoneBr,Attchd,3701,19,8,1204,3,461.0,1191.0,4.0,130000
NAmes,Attchd,9760,44,6,1611,3,442.0,780.0,3.0,167900
BrkSide,Detchd,9873,36,4,960,3,576.0,960.0,3.0,129000
NAmes,Attchd,10011,49,5,1236,4,447.0,1070.0,3.0,134450
Sawyer,Attchd,25339,89,5,1416,4,576.0,816.0,3.0,112000
SawyerW,Attchd,8883,19,7,1873,4,619.0,929.0,4.0,207000
OldTown,none,3000,87,5,2128,3,0.0,1040.0,3.0,62500
NridgHt,BuiltIn,2448,5,7,1626,4,474.0,764.0,4.0,154000
NAmes,Detchd,7100,49,5,816,3,308.0,816.0,3.0,129900
MeadowV,Attchd,2592,34,5,1112,3,336.0,536.0,4.0,85000
OldTown,Detchd,5700,82,7,1111,3,288.0,572.0,3.0,116900
NPkVill,Attchd,2289,31,6,1441,3,440.0,855.0,3.0,148500
Edwards,Detchd,12180,69,4,924,2,280.0,672.0,4.0,80000
Sawyer,Attchd,7400,24,5,1126,3,506.0,1060.0,4.0,152000
Edwards,Detchd,8842,56,5,992,3,319.0,381.0,2.0,155891
BrkSide,Detchd,8850,87,6,1376,4,576.0,768.0,3.0,165000
Somerst,Attchd,9215,1,7,1218,4,676.0,1218.0,4.0,204500
NAmes,Attchd,9480,65,5,1644,4,312.0,728.0,3.0,146500
NWAmes,Attchd,11880,31,7,1601,3,478.0,1271.0,4.0,157000
OldTown,Detchd,10800,118,7,2495,3,342.0,1313.0,3.0,184000
Gilbert,Attchd,7861,4,6,1509,4,393.0,783.0,4.0,183200
Sawyer,Attchd,11616,47,5,1092,3,288.0,1092.0,3.0,139000
NoRidge,Attchd,10542,15,7,2418,4,983.0,1311.0,4.0,341000
BrDale,Detchd,1680,39,6,987,3,264.0,483.0,3.0,96000
Edwards,Attchd,8546,7,4,1121,3,440.0,1121.0,4.0,140000
OldTown,Attchd,7407,53,6,1236,3,923.0,912.0,3.0,149700
NWAmes,Attchd,10140,31,5,1074,3,495.0,1056.0,4.0,153500
IDOTRR,Attchd,14584,56,1,733,2,487.0,0.0,0.0,13100
CollgCr,Attchd,8158,5,7,1768,4,543.0,884.0,4.0,224900
Somerst,Attchd,7500,1,7,1266,4,453.0,1257.0,4.0,176000
NoRidge,Attchd,10678,15,8,2872,4,541.0,1683.0,4.0,285000
Somerst,Attchd,15256,0,8,1464,4,754.0,1485.0,4.0,282922
NAmes,Attchd,14200,40,7,2157,4,487.0,924.0,3.0,226000
StoneBr,BuiltIn,12438,0,8,2576,5,666.0,1234.0,5.0,361919
StoneBr,BuiltIn,16023,1,9,2798,5,670.0,1398.0,5.0,457347
ClearCr,Attchd,20064,31,8,1743,4,529.0,966.0,4.0,279000
Mitchel,Attchd,9819,32,6,1567,4,714.0,1567.0,3.0,196000
NWAmes,Attchd,10400,33,7,1370,3,479.0,1090.0,4.0,152000
NAmes,Detchd,11643,40,5,2634,3,968.0,1248.0,3.0,200000
CollgCr,Attchd,11645,1,8,1590,5,754.0,1570.0,5.0,294900
SawyerW,Attchd,7328,1,7,1450,4,788.0,1450.0,4.0,224243
Edwards,Detchd,7822,91,6,1338,3,528.0,832.0,2.0,92000
Gilbert,Attchd,9018,0,7,1456,4,400.0,728.0,4.0,179540
NridgHt,Attchd,13472,6,10,2392,5,968.0,2392.0,5.0,386250
MeadowV,BuiltIn,1533,37,4,992,3,297.0,530.0,4.0,106500
Somerst,Attchd,11003,1,10,2007,5,812.0,1017.0,5.0,310000
NoRidge,BuiltIn,10790,9,7,2385,4,600.0,1066.0,4.0,252000
Crawfor,Detchd,7128,66,7,1646,3,240.0,918.0,3.0,164000
Gilbert,Attchd,7713,0,7,1456,4,400.0,728.0,4.0,177594
BrkSide,Detchd,6240,74,5,1040,3,624.0,528.0,3.0,123900
Crawfor,Detchd,22420,89,6,2624,3,864.0,1370.0,4.0,239000
Mitchel,Attchd,15300,45,5,1264,3,528.0,1068.0,3.0,169000
Blmngtn,Attchd,3196,3,7,1557,4,420.0,1374.0,4.0,234000
Mitchel,Attchd,9360,32,6,1287,3,541.0,957.0,4.0,173000
NAmes,Attchd,11241,40,6,1004,3,480.0,1004.0,3.0,149000
SawyerW,Attchd,9260,1,7,1162,4,483.0,1162.0,4.0,170000
Somerst,Attchd,7993,1,7,1436,4,529.0,1436.0,5.0,225000
Sawyer,Attchd,9239,45,5,960,4,300.0,960.0,3.0,144900
Edwards,Attchd,10044,42,5,1196,3,336.0,1196.0,4.0,144000
Blmngtn,Attchd,3182,6,8,1269,4,430.0,1256.0,4.0,192000
NAmes,Attchd,7626,57,5,1031,4,230.0,1031.0,3.0,145500
OldTown,Attchd,7008,106,4,720,2,280.0,448.0,2.0,86900
NAmes,Attchd,12160,56,6,1505,3,505.0,1505.0,3.0,149500
Crawfor,Basment,6305,69,5,954,2,240.0,920.0,2.0,119750
CollgCr,Attchd,8846,1,6,1500,4,564.0,750.0,4.0,173900
NAmes,Attchd,10659,45,5,1050,3,368.0,1050.0,3.0,136500
StoneBr,Attchd,13108,12,8,2687,4,618.0,2062.0,4.0,270000
ClearCr,Attchd,13500,48,6,1252,3,564.0,1602.0,4.0,235000
Gilbert,BuiltIn,7750,10,7,1430,3,400.0,384.0,4.0,156000
SawyerW,Detchd,12450,6,5,1114,4,576.0,1114.0,4.0,153000
Mitchel,Attchd,4500,10,6,1224,3,402.0,1224.0,5.0,165000
StoneBr,BuiltIn,11198,3,9,2504,5,656.0,1122.0,4.0,325000
Crawfor,Detchd,6221,66,5,1355,3,528.0,728.0,3.0,140000
IDOTRR,Attchd,13200,44,6,2294,3,658.0,741.0,3.0,202500
NridgHt,Attchd,8769,0,9,1702,5,1052.0,1702.0,5.0,367294
Timber,Attchd,10200,20,6,1509,4,600.0,1461.0,4.0,175000
Crawfor,Detchd,9550,91,7,1717,4,642.0,756.0,3.0,140000
Timber,Attchd,10331,22,7,1240,4,528.0,1265.0,4.0,174000
Gilbert,Attchd,9587,3,7,1166,4,400.0,856.0,4.0,190000
OldTown,none,9900,99,5,1464,3,0.0,504.0,3.0,129000
NAmes,Attchd,22002,48,6,1652,4,510.0,1592.0,3.0,200000
NAmes,Attchd,13000,41,6,2142,4,509.0,896.0,4.0,193500
NAmes,Attchd,8250,44,6,1092,3,504.0,1092.0,4.0,145000
Crawfor,Detchd,8170,77,7,1671,3,451.0,1022.0,3.0,218000
Edwards,Attchd,12048,54,5,1488,3,569.0,0.0,0.0,135000
NAmes,Attchd,10858,54,5,1624,3,240.0,1444.0,3.0,146500
NridgHt,Attchd,7577,2,6,1362,4,460.0,1362.0,4.0,194700
Somerst,Attchd,7500,1,7,1218,4,462.0,1218.0,4.0,230348
OldTown,Detchd,6120,87,6,1068,3,288.0,1124.0,2.0,109500
Mitchel,Attchd,23580,27,6,1625,2,576.0,1625.0,4.0,242500
StoneBr,Attchd,5306,19,7,1767,4,504.0,1064.0,4.0,239000
NAmes,Attchd,8092,52,6,1050,4,286.0,1050.0,3.0,156000
NAmes,Detchd,8593,51,4,907,3,352.0,907.0,3.0,109008
IDOTRR,Detchd,11067,68,2,845,3,256.0,0.0,0.0,68104
NoRidge,Attchd,11929,13,8,2501,4,751.0,1242.0,4.0,290000
NAmes,Attchd,9900,44,5,1209,3,504.0,1209.0,4.0,159000
BrkSide,Basment,4882,71,4,906,3,231.0,348.0,3.0,87000
CollgCr,Attchd,11423,9,8,1601,4,670.0,1581.0,4.0,272000
CollgCr,Attchd,8772,1,7,1336,4,502.0,1336.0,4.0,198000
OldTown,Detchd,7628,68,4,1656,3,440.0,801.0,3.0,119164
Edwards,none,8335,52,5,1124,3,0.0,0.0,0.0,93000
Gilbert,Attchd,8220,8,7,1892,3,431.0,982.0,4.0,226750
OldTown,CarPort,10615,109,3,1699,3,420.0,978.0,2.0,95000
BrkSide,Detchd,6000,62,6,1416,3,312.0,780.0,3.0,139900
BrkSide,none,5350,70,3,1306,2,0.0,728.0,3.0,76500
OldTown,Detchd,5400,68,4,672,3,308.0,672.0,3.0,86900
Mitchel,Attchd,17979,40,5,1160,4,257.0,1113.0,3.0,152500
Edwards,Attchd,9520,55,4,930,3,286.0,911.0,4.0,99000
BrkSide,none,5330,69,4,708,2,0.0,420.0,3.0,82500
SawyerW,Attchd,8012,15,6,1575,4,529.0,1575.0,4.0,179200
Sawyer,Attchd,9000,40,5,1059,3,286.0,1059.0,3.0,142500
Sawyer,Detchd,14299,43,4,1005,3,440.0,1005.0,3.0,115400
Somerst,Attchd,7050,6,7,1929,4,650.0,1057.0,4.0,226000
Somerst,Detchd,3180,1,7,1200,4,480.0,600.0,4.0,144152
NridgHt,BuiltIn,16451,5,8,2690,4,795.0,1765.0,5.0,370000
Mitchel,Attchd,12887,26,5,833,4,495.0,833.0,4.0,149900
Gilbert,Attchd,15578,0,6,1456,3,429.0,728.0,4.0,172785
NAmes,Detchd,7200,57,5,864,4,720.0,864.0,3.0,129000
NWAmes,Attchd,17043,30,6,1586,3,435.0,1362.0,4.0,181000
NAmes,Basment,10000,50,5,1370,3,300.0,1058.0,3.0,148000
Edwards,none,8050,4,6,914,4,0.0,914.0,4.0,117250
Blmngtn,Attchd,3182,4,7,1555,4,430.0,1373.0,4.0,192500
Blueste,Attchd,1950,28,6,1556,3,452.0,716.0,4.0,151000
CollgCr,Detchd,7700,35,5,882,3,461.0,882.0,3.0,112500
BrkSide,Detchd,8731,87,5,1167,3,495.0,915.0,3.0,144000
NridgHt,Attchd,8232,1,9,1800,5,944.0,1800.0,5.0,370967
NPkVill,Attchd,2280,35,6,1456,4,440.0,855.0,3.0,149900
CollgCr,Attchd,8935,7,7,1660,4,493.0,831.0,4.0,195000
Gilbert,Attchd,9125,15,7,1482,4,392.0,384.0,4.0,163900
ClearCr,Attchd,11075,23,6,1522,3,552.0,1190.0,4.0,182000
Timber,Attchd,13438,1,9,2036,5,780.0,2190.0,5.0,410000
Mitchel,Detchd,11070,18,5,1595,3,672.0,1582.0,4.0,152000
SawyerW,Attchd,7800,1,7,1686,4,462.0,891.0,4.0,184000
Mitchel,Attchd,7060,11,7,1344,3,784.0,1344.0,4.0,206300
Mitchel,2Types,11836,36,5,1652,3,928.0,1652.0,3.0,146500
NAmes,Attchd,8382,54,4,1337,3,263.0,832.0,3.0,108000
NWAmes,Attchd,10192,38,7,1920,4,487.0,570.0,3.0,170000
CollgCr,Attchd,4426,4,6,848,4,420.0,848.0,4.0,145000
NPkVill,Attchd,2280,34,7,1055,3,440.0,1057.0,4.0,123000
ClearCr,Attchd,2887,12,6,1291,4,431.0,1291.0,4.0,173000
OldTown,Detchd,8520,82,6,720,3,484.0,624.0,3.0,105900
MeadowV,BuiltIn,1596,36,4,988,3,297.0,462.0,4.0,91000
Crawfor,Attchd,15600,60,5,1523,2,295.0,1067.0,3.0,158000
CollgCr,Attchd,9313,5,7,1728,4,572.0,864.0,4.0,190000
Veenker,Attchd,11064,13,8,1239,4,477.0,1230.0,4.0,217500
IDOTRR,Attchd,9000,50,5,1955,3,356.0,1151.0,3.0,165500
Crawfor,Attchd,12000,68,7,1564,2,234.0,704.0,3.0,174500
Edwards,Basment,7692,54,4,1204,3,312.0,416.0,5.0,100000
NAmes,Attchd,14267,52,6,1329,4,312.0,1329.0,3.0,172000
CollgCr,Attchd,9675,32,5,879,3,440.0,864.0,3.0,120000
SawyerW,CarPort,8400,59,4,841,3,294.0,721.0,3.0,82000
NAmes,Detchd,7500,59,6,1312,3,649.0,784.0,3.0,127000
OldTown,Detchd,9600,91,6,2058,3,396.0,735.0,4.0,129500
StoneBr,Attchd,5814,25,8,1360,4,565.0,1220.0,4.0,187500
CollgCr,Attchd,14860,6,8,1786,4,715.0,1778.0,5.0,300000
NWAmes,Attchd,14803,35,6,1993,3,495.0,825.0,3.0,190000
Edwards,Detchd,7550,87,4,1362,3,280.0,951.0,3.0,96000
Somerst,Attchd,8125,3,7,1550,4,438.0,1092.0,4.0,241000
Sawyer,Attchd,13673,45,5,1696,3,349.0,1140.0,3.0,143900
MeadowV,CarPort,1533,36,4,1092,3,286.0,546.0,3.0,87550
NridgHt,Attchd,7658,5,9,1752,5,576.0,1752.0,5.0,319900
StoneBr,BuiltIn,12292,0,9,2473,4,675.0,1094.0,5.0,356383
CollgCr,Attchd,11923,2,9,1800,5,702.0,1800.0,5.0,239000
NoRidge,Attchd,10010,15,7,2197,4,783.0,1080.0,4.0,287500
OldTown,Detchd,12358,66,5,1382,3,660.0,720.0,3.0,128500
Gilbert,BuiltIn,8577,6,7,1733,4,433.0,847.0,4.0,185088
Somerst,Attchd,8640,1,7,1402,4,625.0,1402.0,4.0,229800
Mitchel,Attchd,10447,23,5,887,3,288.0,864.0,3.0,124500
NAmes,Attchd,9600,38,5,1051,3,504.0,1051.0,3.0,142000
SWISU,Detchd,4899,86,6,1510,3,216.0,755.0,3.0,149000
NWAmes,Detchd,9246,35,5,1656,3,506.0,1656.0,3.0,135000
NPkVill,Attchd,4928,31,6,958,3,440.0,1078.0,4.0,128000
NoRidge,Attchd,12692,15,8,3228,4,546.0,3200.0,4.0,430000
Sawyer,Detchd,7476,39,5,1040,3,686.0,1040.0,3.0,145000
Crawfor,Detchd,5362,97,5,1250,3,552.0,661.0,3.0,139000
NWAmes,BuiltIn,12090,23,6,1868,3,477.0,585.0,4.0,178000
NridgHt,BuiltIn,12539,3,10,2790,5,1150.0,1620.0,5.0,460000
BrkSide,Detchd,11888,93,6,2134,4,441.0,844.0,3.0,214500
SWISU,none,7082,90,5,1928,3,0.0,686.0,3.0,160000
Gilbert,BuiltIn,8755,10,7,2060,4,390.0,992.0,4.0,214000
OldTown,Detchd,4080,74,6,1378,4,162.0,901.0,3.0,128900
Mitchel,2Types,32463,46,4,1622,3,1356.0,1249.0,3.0,168000
Somerst,Attchd,12217,0,8,1880,5,880.0,955.0,5.0,310013
StoneBr,Attchd,3696,21,8,1088,4,461.0,1074.0,4.0,170000
NAmes,Attchd,7560,47,5,1040,3,286.0,1040.0,3.0,133700
Crawfor,Detchd,10592,84,6,1502,4,180.0,602.0,3.0,165000
BrDale,Detchd,1680,37,6,987,3,264.0,483.0,3.0,89500
NAmes,Attchd,10382,48,6,1095,3,264.0,588.0,3.0,140000
Edwards,Detchd,2522,2,7,1709,4,380.0,970.0,4.0,134000
SawyerW,Attchd,9370,14,6,1731,4,462.0,836.0,4.0,248500
Sawyer,Attchd,10246,41,4,960,3,364.0,648.0,3.0,145000
NWAmes,Attchd,11475,31,6,1552,3,434.0,713.0,4.0,179900
Somerst,Attchd,9986,1,8,1795,4,895.0,1795.0,5.0,147000
Mitchel,Detchd,10475,19,5,1274,3,576.0,624.0,4.0,136000
BrkSide,Detchd,6000,70,6,1196,3,576.0,572.0,3.0,128000
Sawyer,CarPort,4280,63,4,704,2,220.0,560.0,2.0,88750
NAmes,Attchd,10895,55,5,972,3,305.0,972.0,3.0,122500
NAmes,Attchd,17503,62,6,1458,3,330.0,912.0,3.0,97500
NAmes,Attchd,9723,43,6,1008,3,430.0,1008.0,3.0,135000
NridgHt,Attchd,11694,0,9,1828,4,774.0,1822.0,5.0,314813
IDOTRR,none,8470,94,3,1526,2,0.0,1013.0,3.0,85000
BrkSide,Detchd,6000,72,6,1176,3,624.0,698.0,3.0,134900
Edwards,Attchd,10519,51,5,1057,4,288.0,1057.0,3.0,137000
NoRidge,Attchd,10437,13,8,2113,4,839.0,2109.0,4.0,350000
NAmes,Attchd,7514,39,5,1387,3,300.0,943.0,3.0,145000
NridgHt,BuiltIn,13654,2,9,2758,5,814.0,1704.0,5.0,418000
OldTown,Detchd,5747,86,3,840,2,250.0,798.0,3.0,64000
SWISU,Detchd,4500,77,5,1520,3,281.0,793.0,3.0,159434
Somerst,Attchd,11830,0,8,1542,4,852.0,1542.0,4.0,260261
