,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice
17,20,RL,80.0,8816,Pave,none,3,Lvl,0,Corner,2,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3.0,3.0,1.0,3.0,651.0,1.0,0.0,470.0,1121.0,GasA,3,Y,0.0,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,7,0,0.0,Detchd,1963.0,1.0,2.0,480.0,3.0,3.0,2,0,80,0,0,0,0,0.0,3.0,none,0,jun,2009,WD ,139000
18,20,RL,71.0,8197,Pave,none,3,Lvl,0,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,3,3,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,660.0,660.0,GasA,5,Y,0.0,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,7,1,3.0,Attchd,1977.0,2.0,2.0,528.0,3.0,3.0,2,138,0,0,0,0,0,0.0,3.0,none,0,apr,2007,WD ,143500
19,60,FV,72.0,8640,Pave,none,3,Lvl,0,Inside,2,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,3.0,6.0,24.0,1.0,0.0,732.0,756.0,GasA,5,Y,0.0,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,7,0,0.0,Attchd,2009.0,1.0,2.0,614.0,3.0,3.0,2,169,45,0,0,0,0,0.0,0.0,none,0,jun,2010,Con,215200
20,20,RL,109.0,8724,Pave,none,3,Lvl,0,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4.0,3.0,1.0,4.0,492.0,1.0,0.0,402.0,894.0,GasA,4,Y,0.0,894,0,0,894,0.0,0.0,1,0,3,1,3,5,7,1,1.0,Attchd,1968.0,3.0,2.0,450.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,none,0,may,2007,WD ,129000
21,120,RL,40.0,5664,Pave,none,2,Lvl,0,Inside,2,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4.0,3.0,1.0,6.0,1158.0,1.0,0.0,343.0,1501.0,GasA,5,Y,0.0,1659,0,0,1659,1.0,0.0,2,0,2,1,5,5,7,1,5.0,Attchd,2000.0,3.0,2.0,499.0,3.0,3.0,2,212,59,0,0,0,0,0.0,0.0,none,0,oct,2009,WD ,278000
22,60,RL,103.0,12867,Pave,none,2,Lvl,0,Corner,2,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,5.0,3.0,3.0,1.0,0.0,1.0,0.0,1209.0,1209.0,GasA,5,Y,0.0,1209,1044,0,2253,0.0,0.0,2,1,3,1,5,8,7,1,4.0,Attchd,2005.0,3.0,2.0,575.0,3.0,3.0,2,243,142,0,0,0,0,0.0,0.0,none,0,jul,2006,New,344133
23,20,RL,68.0,7980,Pave,none,2,Lvl,0,Inside,2,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,PConc,4.0,3.0,1.0,5.0,935.0,1.0,0.0,233.0,1168.0,GasA,5,Y,0.0,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,7,0,0.0,Attchd,1992.0,3.0,2.0,420.0,3.0,3.0,2,483,21,0,0,0,0,0.0,4.0,Shed,500,mar,2010,WD ,185000
24,190,RL,100.0,34650,Pave,none,3,Bnk,0,Inside,2,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,3.0,3.0,1056.0,1.0,0.0,0.0,1056.0,GasA,3,N,0.0,1056,0,0,1056,1.0,0.0,1,0,3,1,3,5,7,0,0.0,Attchd,1955.0,3.0,2.0,572.0,3.0,3.0,2,264,0,0,0,0,0,0.0,0.0,none,0,jan,2006,WD ,145000
25,20,RL,92.0,10573,Pave,none,2,Lvl,0,Corner,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,3,3,CBlock,3.0,3.0,1.0,3.0,1312.0,1.0,0.0,141.0,1453.0,GasA,5,Y,0.0,1453,0,0,1453,1.0,0.0,2,0,3,1,3,6,7,1,3.0,Attchd,1961.0,2.0,2.0,530.0,3.0,3.0,2,0,49,0,0,288,0,0.0,4.0,none,0,apr,2009,WD ,187500
26,20,RL,65.0,8450,Pave,none,3,Lvl,0,Inside,2,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3.0,3.0,1.0,6.0,553.0,4.0,117.0,224.0,894.0,GasA,5,Y,0.0,894,0,0,894,1.0,0.0,1,0,3,1,3,5,7,1,4.0,Detchd,1973.0,1.0,1.0,336.0,3.0,3.0,2,416,144,0,0,0,0,0.0,3.0,none,0,apr,2010,WD ,138500
27,50,RL,68.0,11700,Pave,Grvl,2,HLS,0,Inside,1,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,3,CBlock,3.0,3.0,1.0,4.0,606.0,1.0,0.0,336.0,942.0,GasA,5,Y,0.0,1265,673,0,1938,0.0,0.0,2,0,4,1,4,7,5,1,4.0,Detchd,1937.0,1.0,1.0,240.0,3.0,3.0,2,0,40,0,0,0,0,0.0,0.0,none,0,jul,2008,WD ,198000
28,190,C (all),75.0,8250,Pave,none,3,Lvl,0,Inside,2,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3.0,1.0,1.0,0.0,1.0,0.0,957.0,957.0,GasA,2,N,0.0,1034,957,0,1991,0.0,0.0,2,0,4,2,3,9,7,0,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,133,0,0,0,0.0,0.0,none,0,jun,2007,WD ,119600
29,50,RL,60.0,8064,Pave,none,3,Lvl,0,Corner,2,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3.0,3.0,3.0,1.0,0.0,1.0,0.0,672.0,672.0,GasA,5,Y,0.0,672,252,0,924,0.0,0.0,1,0,3,1,3,6,7,1,1.0,Detchd,2003.0,1.0,2.0,576.0,3.0,3.0,2,0,0,0,0,0,0,0.0,3.0,Shed,2000,jul,2007,WD ,122900
30,20,RL,80.0,9600,Pave,none,3,Lvl,0,Inside,2,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,0.0,4,3,PConc,4.0,3.0,1.0,5.0,1104.0,1.0,0.0,1420.0,2524.0,GasA,3,Y,0.0,2524,0,0,2524,1.0,0.0,2,1,4,1,4,9,7,1,4.0,Attchd,1981.0,3.0,2.0,542.0,3.0,3.0,2,474,120,0,0,0,0,0.0,3.0,none,0,jul,2009,WD ,278000
31,70,RL,68.0,11435,Pave,none,2,HLS,0,Corner,1,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,0.0,3,3,PConc,4.0,3.0,1.0,1.0,0.0,1.0,0.0,792.0,792.0,GasA,2,Y,0.0,792,725,0,1517,0.0,0.0,1,0,3,1,4,7,7,2,4.0,Detchd,1931.0,1.0,2.0,400.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,none,0,jun,2006,WD ,230000
32,120,RL,30.0,9549,Pave,none,2,Lvl,0,CulDSac,2,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,0.0,4,4,PConc,4.0,4.0,3.0,2.0,437.0,6.0,1057.0,0.0,1494.0,GasA,5,Y,0.0,1494,0,0,1494,1.0,0.0,1,1,2,1,5,6,7,1,4.0,Attchd,1995.0,3.0,2.0,481.0,3.0,3.0,2,0,30,0,0,216,0,0.0,0.0,none,0,apr,2006,WD ,270000
33,20,RL,60.0,10950,Pave,none,3,Lvl,0,Inside,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1.0,5.0,441.0,1.0,0.0,507.0,948.0,GasA,3,Y,0.0,948,0,0,948,0.0,0.0,1,0,2,1,3,5,7,0,0.0,Detchd,1952.0,1.0,2.0,410.0,3.0,3.0,0,0,48,0,0,0,0,0.0,0.0,none,0,apr,2007,WD ,125000
34,20,RL,79.0,10637,Pave,none,3,Lvl,0,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,4,3,PConc,5.0,3.0,4.0,6.0,1288.0,1.0,0.0,417.0,1705.0,GasA,5,Y,0.0,1718,0,0,1718,1.0,0.0,2,0,3,1,4,7,7,1,4.0,Attchd,2007.0,2.0,3.0,826.0,3.0,3.0,2,208,44,0,0,0,0,0.0,0.0,none,0,sep,2009,WD ,297000
35,20,RL,80.0,9000,Pave,none,2,HLS,0,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,3,3,CBlock,4.0,3.0,4.0,1.0,0.0,1.0,0.0,160.0,160.0,GasA,2,Y,0.0,1142,0,0,1142,0.0,0.0,1,0,2,1,3,5,7,1,4.0,Basment,1958.0,2.0,1.0,384.0,3.0,3.0,2,0,28,64,0,0,0,0.0,0.0,none,0,apr,2009,WD ,113500
36,160,RM,41.0,2665,Pave,none,3,Lvl,0,Inside,2,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,3.0,3.0,1.0,5.0,548.0,3.0,173.0,36.0,757.0,GasA,5,Y,0.0,925,550,0,1475,0.0,0.0,2,0,4,1,3,6,7,1,3.0,Attchd,1977.0,2.0,1.0,336.0,3.0,3.0,2,104,26,0,0,0,0,0.0,0.0,none,0,jul,2006,WD ,127000
37,20,RL,105.0,11751,Pave,none,2,Lvl,0,Inside,2,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3,3,CBlock,4.0,3.0,1.0,4.0,705.0,1.0,0.0,1139.0,1844.0,GasA,5,Y,0.0,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,7,1,3.0,Attchd,1977.0,2.0,2.0,546.0,3.0,3.0,2,0,122,0,0,0,0,0.0,3.0,none,0,jan,2010,COD,190000
38,20,RL,80.0,9600,Pave,none,3,Lvl,0,Inside,2,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,3,3,CBlock,3.0,3.0,1.0,5.0,916.0,1.0,0.0,326.0,1242.0,GasA,2,Y,0.0,1242,0,0,1242,0.0,0.0,1,1,3,1,3,6,7,1,3.0,Attchd,1973.0,1.0,2.0,528.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,none,0,sep,2007,WD ,175500
39,20,RL,60.0,8428,Pave,none,1,Lvl,0,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,4.0,4.0,1.0,6.0,420.0,1.0,0.0,570.0,990.0,GasA,5,Y,0.0,990,0,0,990,1.0,0.0,1,0,3,1,3,5,7,0,0.0,Detchd,1995.0,1.0,1.0,384.0,3.0,3.0,2,256,0,0,0,0,0,0.0,0.0,none,0,jul,2007,WD ,146000
40,20,RL,75.0,9937,Pave,none,3,Lvl,0,Inside,2,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,CBlock,3.0,3.0,1.0,4.0,830.0,2.0,290.0,136.0,1256.0,GasA,4,Y,0.0,1256,0,0,1256,1.0,0.0,1,1,3,1,3,6,7,0,0.0,Attchd,1965.0,3.0,1.0,276.0,3.0,3.0,2,736,68,0,0,0,0,0.0,0.0,none,0,jun,2008,WD ,147500
41,20,RL,107.0,13891,Pave,none,3,Lvl,0,Inside,2,NridgHt,Norm,Norm,1Fam,1Story,10,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,5,3,PConc,5.0,4.0,4.0,6.0,1386.0,1.0,0.0,690.0,2076.0,GasA,5,Y,0.0,2076,0,0,2076,1.0,0.0,2,1,2,1,5,7,7,1,4.0,Attchd,2006.0,3.0,3.0,850.0,3.0,3.0,2,216,229,0,0,0,0,0.0,0.0,none,0,sep,2006,New,465000
42,85,RL,68.0,9101,Pave,none,2,Lvl,0,Corner,2,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,3,4,PConc,4.0,3.0,3.0,6.0,1097.0,1.0,0.0,0.0,1097.0,GasA,5,Y,0.0,1110,0,0,1110,1.0,0.0,1,0,1,1,4,4,7,1,3.0,Attchd,1978.0,3.0,2.0,602.0,3.0,3.0,2,303,30,0,0,0,0,0.0,0.0,none,0,jul,2009,WD ,165500
43,50,RM,81.0,12150,Pave,Grvl,3,Lvl,0,Inside,2,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,3,3,BrkTil,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1050.0,1050.0,GasA,5,N,2.0,1050,745,0,1795,0.0,0.0,2,0,4,1,3,7,7,0,0.0,Attchd,1954.0,1.0,1.0,352.0,2.0,3.0,2,0,0,0,0,0,0,0.0,0.0,none,0,nov,2008,WD ,131500
44,20,RL,70.0,11200,Pave,none,3,Lvl,0,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3.0,3.0,1.0,3.0,906.0,1.0,0.0,134.0,1040.0,GasA,5,Y,0.0,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,7,0,0.0,Detchd,1965.0,1.0,1.0,384.0,3.0,3.0,2,0,0,0,0,0,0,0.0,0.0,none,0,feb,2008,WD ,129500
45,70,RL,100.0,9670,Pave,none,2,HLS,0,Inside,1,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,40.0,3,3,PConc,3.0,2.0,1.0,2.0,210.0,1.0,0.0,398.0,608.0,GasA,3,Y,0.0,983,890,0,1873,0.0,0.0,1,1,4,1,3,9,7,2,4.0,Detchd,1935.0,3.0,2.0,786.0,2.0,3.0,2,0,0,207,0,0,0,0.0,0.0,none,0,jun,2008,WD ,257076
46,50,RL,60.0,10998,Pave,Grvl,3,Lvl,0,Inside,2,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1.0,2.0,408.0,4.0,420.0,156.0,984.0,GasA,5,Y,0.0,984,620,0,1604,0.0,0.0,2,0,3,1,3,6,5,0,0.0,Detchd,1977.0,1.0,2.0,660.0,3.0,3.0,2,0,68,0,0,0,0,0.0,0.0,none,0,jul,2009,WD ,117000
47,70,RL,60.0,7200,Pave,none,3,HLS,0,Inside,1,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,0.0,3,2,BrkTil,4.0,3.0,1.0,1.0,0.0,1.0,0.0,776.0,776.0,GasA,3,Y,0.0,851,651,0,1502,0.0,0.0,1,1,3,1,3,6,7,1,4.0,Attchd,1931.0,2.0,1.0,270.0,3.0,3.0,1,0,0,112,0,0,0,0.0,3.0,none,0,feb,2008,WD ,149000
48,20,RL,80.0,9920,Pave,none,3,Lvl,0,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,3,3,CBlock,3.0,3.0,1.0,3.0,354.0,2.0,290.0,412.0,1056.0,GasA,3,Y,0.0,1063,0,0,1063,1.0,0.0,1,0,3,1,3,6,7,0,0.0,Attchd,1954.0,2.0,1.0,280.0,3.0,3.0,2,0,0,164,0,0,0,0.0,3.0,none,0,feb,2010,WD ,128000
